productid,productname,productimages,productdescription,productsku,productminmaxquantity,productpriceselling,productstatus,productinventory,productcategory,productpricecost,productpricecompare,producttax_percent,productlabels,producttags
"","Osmadrain Drainage Short Radius Bend 87 Degree Single Socket 110mm","https://dam-assets.apps.travisperkins.group/o8r6eq3/GPID_1000199467_IMG_00.jpg","OsmaDrain, foul and surface water drainage system for use in gravity drainage applications at depths of up to 10m","2205086663","1,26",18.20,"ACTIVE",26,"Building Materials",15.83,"",20
"","Osmadrain Drainage Equal Junction 87 Degree Double Socket 110mm","https://dam-assets.apps.travisperkins.group/v969e70/GPID_1000199475_IMG_00.jpg","OsmaDrain, foul and surface water drainage system for use in gravity drainage applications at depths of up to 10m","4511331401","1,11",31.83,"ACTIVE",11,"Building Materials",27.68,"",20
"","Osmadrain Drainage Short Radius Bend 30 Degree Single Socket 110mm","https://dam-assets.apps.travisperkins.group/v6weyjm/GPID_1000199470_IMG_00.jpg","OsmaDrain, foul and surface water drainage system for use in gravity drainage applications at depths of up to 10m","9031025866","1,6",12.66,"ACTIVE",6,"Building Materials",11.01,"",20
"","Osmadrain Drainage Short Radius Bend 45 Degree Single Socket 110mm","https://dam-assets.apps.travisperkins.group/xgyqpmg/GPID_1000199469_IMG_00.jpg","OsmaDrain, foul and surface water drainage system for use in gravity drainage applications at depths of up to 10m","2270071715","1,29",18.19,"ACTIVE",29,"Building Materials",15.82,"",20
"","Osmadrain Drainage Short Radius Bend 15 Degree Single Socket 110mm","https://dam-assets.apps.travisperkins.group/oyy15nl/GPID_1000199471_IMG_00.jpg","OsmaDrain, foul and surface water drainage system for use in gravity drainage applications at depths of up to 10m","4688220492","1,5",12.13,"ACTIVE",5,"Building Materials",10.55,"",20
"","Osmadrain Drainage Rainwater Adaptor 110mm","https://dam-assets.apps.travisperkins.group/lZXBQ/GPID_1000199462_IMG_00.jpeg","OsmaDrain, foul and surface water drainage system for use in gravity drainage applications at depths of up to 10m","9574225869","1,17",7.20,"ACTIVE",17,"Building Materials",6.26,"",20
"","OsmaDrain Bottle Gully 87.5° 110mm (closed bosses) 4D900","https://dam-assets.apps.travisperkins.group/oj0mezm/GPID_1000199511_IMG_00.jpg","OsmaDrain, foul and surface water drainage system for use in gravity drainage applications at depths of up to 10m.","1872686223","1,1",48.55,"ACTIVE",1,"Building Materials",42.22,"",20
"","Osmadrain Drainage Equal Junction 45 Degree Single Socket 110mm","https://dam-assets.apps.travisperkins.group/xgyqpzg/GPID_1000199477_IMG_00.jpg","OsmaDrain, foul and surface water drainage system for use in gravity drainage applications at depths of up to 10m","4537088638","1,9",29.39,"ACTIVE",9,"Building Materials",25.56,"",20
"","OsmaDrain Plain Ended Hopper 110mm 4D507","https://dam-assets.apps.travisperkins.group/oe0jqlq/GPID_1000199488_IMG_00.jpg","OsmaDrain, foul and surface water drainage system for use in gravity drainage applications at depths of up to 10m.","3241244480","1,13",22.03,"ACTIVE",13,"Building Materials",19.16,"",20
"","Osmadrain Drainage Equal Junction 45 Degree Double Socket 110mm","https://dam-assets.apps.travisperkins.group/o35m175/GPID_1000199478_IMG_00.jpg","OsmaDrain, foul and surface water drainage system for use in gravity drainage applications at depths of up to 10m","7198966892","1,14",36.37,"ACTIVE",14,"Building Materials",31.63,"",20
"","OsmaDrain Double Socket Long Radius bend 87.5° 110mm 4D581","https://dam-assets.apps.travisperkins.group/orm689r/GPID_1000199498_IMG_00.jpg","OsmaDrain, foul and surface water drainage system for use in gravity drainage applications at depths of up to 10m.","2024628061","1,14",28.00,"ACTIVE",14,"Building Materials",24.35,"",20
"","OsmaDrain Soluble Lubricant 500g 4D391","https://dam-assets.apps.travisperkins.group/KoR22/GPID_1000199522_IMG_00.jpeg","Cleaners, solvent cements, lubricants","5629325586","1,10",11.58,"ACTIVE",10,"Building Materials",10.07,"",20
"","OsmaDrain universal rainwater adaptor 110x70mm","https://dam-assets.apps.travisperkins.group/v16mn7d/GPID_1000138577_IMG_00.jpg","OsmaDrain, foul and surface water drainage system for use in gravity drainage applications at depths of up to 10m","4249728781","1,19",7.67,"ACTIVE",19,"Building Materials",6.67,"",20
"","OsmaDrain Drainage Double Socket Short Radius Bend 87Degree 110mm 4D561","https://dam-assets.apps.travisperkins.group/xp8grzn/GPID_1000199492_IMG_00.jpg","OsmaDrain, foul and surface water drainage system for use in gravity drainage applications at depths of up to 10m.","1872556686","1,12",18.68,"ACTIVE",12,"Building Materials",16.24,"",20
"","OsmaDrain Gully Grating 4D906 (for 4D900/901 Bottle Gully)","https://dam-assets.apps.travisperkins.group/lm5mZ/GPID_1000392357_IMG_00.jpg","OsmaDrain, foul and surface water drainage system for use in gravity drainage applications at depths of up to 10m.","1586222881","1,5",6.09,"ACTIVE",5,"Building Materials",5.3,"",20
"","OsmaDrain Double Socket Short Radius Bend 11.25° 110mm 4D568","https://dam-assets.apps.travisperkins.group/xw4ympl/GPID_1000199520_IMG_00.jpg","OsmaDrain, foul and surface water drainage system for use in gravity drainage applications at depths of up to 10m.","3926776433","1,3",21.63,"ACTIVE",3,"Building Materials",18.81,"",20
