productid,productname,productimages,productdescription,productsku,productminmaxquantity,productpriceselling,productstatus,productinventory,productcategory,productpricecost,productpricecompare,producttax_percent,productlabels,producttags
"","Fillcrete Fillaboard Expansion Joint Sheet 12mm x 1220mm x 2440mm","https://dam-assets.apps.travisperkins.group/MQRGR/GPID_1000025294_IMG_00.jpeg","12mm 2440 x 1220 Sheet of Fillaboard Bitumen Impregnated fibreboard for all your requirements for concrete expansion and movement joints","9199395352","1,49",28.28,"ACTIVE",49,"Building Materials",24.59,"",20
"","Fillcrete Expansion Joint Brickfill Roll 12mm x 150mm x 10m","https://dam-assets.apps.travisperkins.group/MgmQV/GPID_1000198651_IMG_00.jpeg","12mm 150 x 10,000 rolls of Brickfill closed cell cross linked polyethylene foams for all your requirements for brick and blockwork expansion and movement joints packed in 10 rolls per merchant pack.","4636228134","1,57",23.93,"ACTIVE",57,"Building Materials",20.81,"",20
"","Ndc Polipak Dpc 300mm x 30m","https://dam-assets.apps.travisperkins.group/xgyq4d7/GPID_1100895487_IMG_00.jpg","Damplas Damp Proof Course (DPC), 30m x 300mm","9093373020","1,7",16.56,"ACTIVE",7,"Building Materials",14.4,"",20
"","IKO Hyload Original Damp Proof Course 450mm x 20m","https://dam-assets.apps.travisperkins.group/oz849py/GPID_1000198830_IMG_00.jpeg","IKO Hyload Original Damp-proof Course system is a flexible polymeric sheet material, used within masonry walls to prevent passage of moisture from the ground and at all levels as cavity tray to prevent the downward movement of water.Trusted for over 40 years, Hyload Original is the UKâ€™s leading High Performance DPC","8224939072","1,3",89.78,"ACTIVE",3,"Building Materials",78.07,"",20
"","Ndc Polipak Dpc 600mm x 30m","https://dam-assets.apps.travisperkins.group/vne385g/GPID_1100895498_IMG_00.jpg","Damplas Damp Proof Course (DPC), 30m x 600mm","4681174439","1,14",33.10,"ACTIVE",14,"Building Materials",28.78,"",20
"","IKO Hyload Original Damp Proof Course 100mm x 20m","https://dam-assets.apps.travisperkins.group/xp81e45/GPID_1000198827_IMG_00.jpeg","IKO Hyload Original Damp-proof Course system is a flexible polymeric sheet material, used within masonry walls to prevent passage of moisture from the ground and at all levels as cavity tray to prevent the downward movement of water.Trusted for over 40 years, Hyload Original is the UKâ€™s leading High Performance DPC","5368900971","1,3",31.26,"ACTIVE",3,"Building Materials",27.18,"",20
"","IKO Hyload Original Damp Proof Course 150mm x 20m","https://dam-assets.apps.travisperkins.group/xkg0640/GPID_1000198828_IMG_00.jpg","IKO Hyload Original Damp-proof Course system is a flexible polymeric sheet material, used within masonry walls to prevent passage of moisture from the ground and at all levels as cavity tray to prevent the downward movement of water.Trusted for over 40 years, Hyload Original is the UKâ€™s leading High Performance DPC","2096182396","1,4",50.88,"ACTIVE",4,"Building Materials",44.24,"",20
"","Ndc Polipak Dpc 450mm x 30m","https://dam-assets.apps.travisperkins.group/om53j0n/GPID_1100895497_IMG_00.jpg","Damplas Damp Proof Course (DPC), 30m x 450mm","3109247698","1,10",24.83,"ACTIVE",10,"Building Materials",21.59,"",20
"","Ndc Polipak Dpc 150mm x 30m","https://dam-assets.apps.travisperkins.group/xkgm5lz/GPID_1100895499_IMG_00.jpg","Damplas Damp Proof Course (DPC), 30m x 150mm","5552484014","1,13",8.28,"ACTIVE",13,"Building Materials",7.2,"",20
"","Ndc Polipak Dpc 225mm x 30m","https://dam-assets.apps.travisperkins.group/v16m03z/GPID_1100895500_IMG_00.jpg","Damplas Damp Proof Course (DPC), 30m x 225mm","9109087495","1,8",12.42,"ACTIVE",8,"Building Materials",10.8,"",20
"","IKO Hyload Insulated Damp Proof Course 165mm x 8m","https://dam-assets.apps.travisperkins.group/KLN6z/GPID_1000005295_IMG_00.jpeg","IKO Hyload Insulated Damp Proof Course 165mm x 8m","7334426933","1,7",62.82,"ACTIVE",7,"Building Materials",54.63,"",20
"","Ndc Polipak Dpm 4m x 25m 250mu","https://dam-assets.apps.travisperkins.group/x7l141l/GPID_1100895489_IMG_00.jpg","Damplas Damp Proof Membrane, 250mu, 4m x 25m, Black","5600340166","1,17",47.94,"ACTIVE",17,"Building Materials",41.69,"",20
"","Ndc Polipak Dpm 4m x 25m 300mu","https://dam-assets.apps.travisperkins.group/xkg4246/GPID_1100897435_IMG_00.jpg","Damplas Damp Proof Membrane, 300mu, 4m x 25mm Black","3373740450","1,10",65.31,"ACTIVE",10,"Building Materials",56.79,"",20
"","Ndc Polipak Dpm 4m x 5m 250mu","https://dam-assets.apps.travisperkins.group/o35mejn/GPID_1100895490_IMG_00.jpg","Damplas Damp Proof Membrane, 250mu, 4m x 5m, Black","4854962716","1,7",38.50,"ACTIVE",7,"Building Materials",33.48,"",20
"","Ndc Polipak Dpc 100mm x 30m","https://dam-assets.apps.travisperkins.group/xdme1n5/GPID_1100895496_IMG_00.jpg","Damplas Damp Proof Course (DPC), 30m x 100mm","5344467641","1,20",5.52,"ACTIVE",20,"Building Materials",4.8,"",20
"","Ndc Polipak Dpc 112.5mm x 30m","https://dam-assets.apps.travisperkins.group/orm67jz/GPID_1100895530_IMG_00.jpg","Damplas Damp Proof Course (DPC), 30m x 112.5mm","8247330736","1,8",6.21,"ACTIVE",8,"Building Materials",5.4,"",20
"","Tarmac Trupack Black Cold Lay Bitumen Macadam 25kg","https://dam-assets.apps.travisperkins.group/xlmk4ed/GPID_1000134480_IMG_00.jpg","The Black Bitumen Asphalt From Tarmac's Macadam Range Repairs Driveways, Footpaths And Potholes. It Can Also Be Laid To Create Temporary Ramping. Its Formulation Not Only Makes Maintenance And Renovation Easy But Also Protects Against Water Damage And Cracks.","6694030488","1,459",13.79,"ACTIVE",459,"Building Materials",11.99,"",20
"","Buildgo MOT Type 1 Sub Base Bulk Bag","https://raw.githubusercontent.com/SahilDudhatWork/image-hosting/refs/heads/main/sku-938251.jpg","MOT Type 1 has crushed gravel stones that form the sublayer for road surfaces and pathways.  Hardwearing, this gravel provides a load bearing stable layer and a flat surface prior to a top coating of asphalt, concrete, shingle or block paving. The fine mixture also ensures minimal voids in the sublayer when compacted.","5865731963","1,2",71.86,"ACTIVE",2,"Building Materials",62.49,"",20
"","Buildgo Gravel and Shingle Bulk Bag 20mm","https://dam-assets.apps.travisperkins.group/ormke1w/GPID_1000134562_IMG_00.png","This bulk bag of 20mm construction aggregate consists of gravel and shingle that is ideal for mixing with other products when concreting and floor screeding. This can also be used for landscaping and backfilling drains.","8892204543","1,2",67.72,"ACTIVE",2,"Building Materials",58.89,"",20
"","Buildgo Gravel and Shingle Bulk Bag 10mm","https://raw.githubusercontent.com/SahilDudhatWork/image-hosting/refs/heads/main/sku-938182.jpg","This bulk bag of 10mm gravel and shingle consists of small stones that are ideal for mixing with other products when concreting and floor screeding. Other uses include backfilling drains and landscaping tasks. It is recommended that the 20mm version or one of the decorative aggregates is used for driveways and paths as the small stones ca n be brought inside on footwear.","6121789675","1,1",67.72,"ACTIVE",1,"Building Materials",58.89,"",20
"","Buildgo Grit/Sharp Sand Bulk Bag","https://raw.githubusercontent.com/SahilDudhatWork/image-hosting/refs/heads/main/sku-938208.jpg","This high-strength bulk bag provides fine sharp aggregates used to make ready-mix concrete for multiple applications, such as paving, concreting and constructing floor screeds.","7162219503","1,16",67.72,"ACTIVE",16,"Building Materials",58.89,"",20
"","Buildgo Sand and Stone Ballast Bulk Bag","https://raw.githubusercontent.com/SahilDudhatWork/image-hosting/refs/heads/main/sku-938169.jpg","This ballast bulk bag gives a mixture of sand and stone ballast to be mixed with cement for concreting applications. Also suitable for other building projects such as to provide an even sub-base for driveways, shed bases and more.","4304788757","1,9",67.72,"ACTIVE",9,"Building Materials",58.89,"",20
"","Buildgo Gravel and Shingle Trade Pack 20mm","https://dam-assets.apps.travisperkins.group/xkg68kj/GPID_1000328703_IMG_00.jpeg","The trade pack of 20mm gravel and shingle consists of larger stones that can be mixed with sand and cement for concreting. They are ideal to be used for driveways, borders, bedding drainage pipes and paths as well as a number of landscaping tasks.","6870212207","1,204",4.31,"ACTIVE",204,"Building Materials",3.75,"",20
"","Buildgo Building Sand Trade Pack","https://dam-assets.apps.travisperkins.group/bPpOa/GPID_1000328697_IMG_00.jpeg","The trade pack contains building sand of a consistent quality and colour. This essential building aggregate is ideal for use in a variety of applications, including bricklaying mortar.","5542349372","1,293",4.31,"ACTIVE",293,"Building Materials",3.75,"",20
"","Buildgo Grit/Sharp Sand Trade Pack","https://dam-assets.apps.travisperkins.group/WRB1v/GPID_1000328700_IMG_00.jpeg","This trade pack provides fine sharp aggregates used to make ready-mix concrete for multiple applications, such as paving, concreting and constructing floor screeds.","5261597077","1,1058",4.31,"ACTIVE",1058,"Building Materials",3.75,"",20
"","Buildgo Plastering Sand Bulk Bag","https://raw.githubusercontent.com/SahilDudhatWork/image-hosting/refs/heads/main/sku-938196.jpg","This plastering sand can be used for a variety of internal and external purposes. As well as plastering, it is also used for rendering of walls and brickwork. A mix of soft and sharp sand of consistent colour and quality. Makes bricklaying mortar when mixed with cement and water.","9198492718","1,5",67.72,"ACTIVE",5,"Building Materials",58.89,"",20
"","Rock Salt Traditional Colour 20kg Trade Bag","https://dam-assets.apps.travisperkins.group/KRwPr/GPID_1000002887_IMG_00.jpeg","An ideal salt for de-icing as well preventing ice and snow build-up on roads, driveways, and paths. It can be mixed with sand to improve vehicle traction in slippery conditions.","8238398468","1,541",10.79,"ACTIVE",541,"Building Materials",9.38,"",20
"","Kiln Dried Paving Sand 20kg","https://dam-assets.apps.travisperkins.group/x21mred/GPID_1100916921_IMG_00.png","Tarmac's Kiln Dried Paving Sand Is Used As Infill Between Block Paving Or Paving Slabs. It Is A Clean And Fine Dry Aggregate Sand For Brushing Into Joints Of Paving To Help Prevent Movement Whilst Allowing Drainage.","8771540735","1,265",4.31,"ACTIVE",265,"Building Materials",3.75,"",20
"","Buildgo MOT Type 1 Sub Base Trade Pack","https://dam-assets.apps.travisperkins.group/3WZnG/GPID_1000328706_IMG_00.jpg","MOT Type 1 has crushed gravel stones that form the granular sublayer for road surfaces and pathways. Hardwearing, this gravel provides a load bearing stable layer and a flat surface prior to laying paving or hard standing areas. The fine mixture also ensures minimal voids in the sublayer when compacted.","4079354347","1,294",5.46,"ACTIVE",294,"Building Materials",4.75,"",20
"","Buildgo Gravel and Shingle Trade Pack 10mm","https://dam-assets.apps.travisperkins.group/oz89d5l/GPID_1000328702_IMG_00.jpeg","This trade pack of 10mm gravel and shingle consists of small stones that are ideal for mixing with other products when concreting and floor screeding. Other uses include backfilling drains and landscaping tasks. It is recommended that the 20mm version or one of the decorative aggregates is used for driveways and paths as the small stones can be brought inside on footwear.","5582024134","1,158",4.31,"ACTIVE",158,"Building Materials",3.75,"",20
"","Plastering Sand Trade Pack","https://dam-assets.apps.travisperkins.group/rrp0B/GPID_1000328699_IMG_00.jpeg","A mixture of sharp and soft sand for various uses by plasterers","5395267955","1,275",4.31,"ACTIVE",275,"Building Materials",3.75,"",20
"","Buildgo Grano Dust Trade Pack 6mm","https://dam-assets.apps.travisperkins.group/ZLoWO/GPID_1000328708_IMG_00.jpeg","The Grano dust trade pack can be used for a variety of construction purposes, including as a sublayer before laying concrete or a hard standing area that not only provides a flat surface but also acts as a hardwearing support to the top layers. When this aggregate is mixed with sand and cement, it produces a mortar ideally suited for floor screeds.","2155752999","1,95",8.04,"ACTIVE",95,"Building Materials",6.99,"",20
"","Silver Sand Trade Pack","https://dam-assets.apps.travisperkins.group/bbvO2/GPID_1000328723_IMG_00.jpeg","A lighter finer sand used for a variety of construction applications","9906129794","1,23",8.04,"ACTIVE",23,"Building Materials",6.99,"",20
"","Osmadrain Drainage Plain End Pipe 110mm 3 Meter","https://dam-assets.apps.travisperkins.group/xdmedzk/GPID_1000199458_IMG_00.jpg","OsmaDrain, foul and surface water drainage system for use in gravity drainage applications at depths of up to 10m","2096516829","1,29",23.32,"ACTIVE",29,"Building Materials",20.28,"",20
"","Osmadrain Drainage Plain End Pipe 110mm 6 Meter","https://dam-assets.apps.travisperkins.group/vne3rl1/GPID_1000199459_IMG_00.jpg","OsmaDrain, foul and surface water drainage system for use in gravity drainage applications at depths of up to 10m","3058146789","1,11",46.61,"ACTIVE",11,"Building Materials",40.53,"",20
"","OsmaDrain Double Socket adjustable bend 0-30° 110mm 4D573","https://dam-assets.apps.travisperkins.group/oyy150l/GPID_1000199526_IMG_00.jpg","OsmaDrain, foul and surface water drainage system for use in gravity drainage applications at depths of up to 10m.","2545202434","1,24",31.67,"ACTIVE",24,"Building Materials",27.54,"",20
"","Osmadrain Drainage Double Socket Pipe Coupler 110mm","https://dam-assets.apps.travisperkins.group/o0n1j65/GPID_1000199476_IMG_00.jpg","OsmaDrain, foul and surface water drainage system for use in gravity drainage applications at depths of up to 10m","5652240663","1,82",7.92,"ACTIVE",82,"Building Materials",6.89,"",20
"","OsmaDrain Plain Ended Socket Plug (Closed) 110mm 4D296","https://dam-assets.apps.travisperkins.group/o504qnm/GPID_1000199481_IMG_00.jpg","OsmaDrain, foul and surface water drainage system for use in gravity drainage applications at depths of up to 10m.","4969486814","1,29",10.35,"ACTIVE",29,"Building Materials",9,"",20
"","OsmaDrain Double Socket Short Radius Bend 45° 110mm 4D563","https://dam-assets.apps.travisperkins.group/xkgm8q7/GPID_1000199494_IMG_00.jpg","OsmaDrain, foul and surface water drainage system for use in gravity drainage applications at depths of up to 10m.","4319441438","1,39",23.67,"ACTIVE",39,"Building Materials",20.58,"",20
