productid,productname,productimages,productdescription,productsku,productminmaxquantity,productpriceselling,productstatus,productinventory,productcategory,productpricecost,productpricecompare,producttax_percent,productlabels,producttags
"","25mm x 50mm x 3.6m Sawn Softwood Carcassing Treated Green","https://dam-assets.apps.travisperkins.group/lvX1v/GPID_1000190478_IMG_00.jpeg","High quality treated sawn timber for general construction uses","3793372352","1,321",4.32,"ACTIVE",321,"Timber & Sheet Materials",3.76
"","47mm x 50mm x 3.0m Sawn Treated Timber Regularised","https://dam-assets.apps.travisperkins.group/lk4J6/GPID_1000190448_IMG_00.jpeg","Regularised (consistent dimensions) by planing all round with 'eased' (rounded) corners for comfortable handling. Our regularised carcassing finishes 2mm off nominal thickness and 5mm off nominal width.","3812873144","1,312",6.42,"ACTIVE",312,"Timber & Sheet Materials",5.58
"","22mm x 150mm x 4.8m Sawn Softwood Carcassing Treated Green","https://dam-assets.apps.travisperkins.group/x7lkw1e/GPID_1000190299_IMG_00.jpeg","High quality treated sawn timber for general construction uses","5979635377","1,24",13.91,"ACTIVE",24,"Timber & Sheet Materials",12.1
"","End Banded Timber Scaffold Boards BS2482 38mm x 225mm x 3.9m","https://dam-assets.apps.travisperkins.group/NmDL6/GPID_1000261093_IMG_00.jpg","Our scaffold boards are graded in accordance with the industry standard BS2482. As well as scaffolding they are often used on site for a variety of other uses, walkways across muddy ground and other kneeling boards etc.","1594017739","1,22",40.00,"ACTIVE",22,"Timber & Sheet Materials",34.78

"","Pointed Timber Peg Sawn and Treated 47mm x 50mm x 600mm","https://dam-assets.apps.travisperkins.group/dXpOL/GPID_1000260877_IMG_00.jpeg","Pointed peg for site layout","7290890353","1,248",3.05,"ACTIVE",248,"Timber & Sheet Materials",2.65
"","12mm x 2440mm x 1220mm Softwood Shuttering Plywood","https://dam-assets.apps.travisperkins.group/xw4682l/GPID_1000131659_IMG_00.jpg","Excellent all round plywood which can be used for shuttering/hoarding and all general purpose building applications","8106506475","1,267",33.12,"ACTIVE",267,"Timber & Sheet Materials",28.8
"","18mm x 2440mm x 1220mm Softwood Shuttering Plywood","https://dam-assets.apps.travisperkins.group/o8r2q43/GPID_1000131660_IMG_00.jpg","Excellent all round plywood which can be used for shuttering/hoarding and all general purpose building applications","3927282386","1,37",40.96,"ACTIVE",37,"Timber & Sheet Materials",35.62
"","18mm x 1220mm x 2440mm Structural Hardwood Plywood","https://dam-assets.apps.travisperkins.group/pRPzG/GPID_1100755658_IMG_00.png","A quality hardwood structural plywood that is suitable for a variety of applications, including walls, floors and roofs. Structural plywood must be 9mm or above.","8229492423","1,46",49.88,"ACTIVE",46,"Timber & Sheet Materials",43.37
"","12mm x 1220mm x 2440mm Structural Hardwood Plywood","https://dam-assets.apps.travisperkins.group/jBjz0/GPID_1100755657_IMG_00.png","A quality hardwood structural plywood that is suitable for a variety of applications, including walls, floors and roofs. Structural plywood must be 9mm or above.","1821545105","1,230",39.46,"ACTIVE",230,"Timber & Sheet Materials",34.31
"","5.5mm x 2440mm x 1220mm General Purpose Plywood","https://dam-assets.apps.travisperkins.group/xgygmwg/GPID_1000381889_IMG_00.jpg","A quality hardwood plywood suitable for a variety of applications","1583078755","1,134",25.64,"ACTIVE",134,"Timber & Sheet Materials",22.3
"","18mm x 2440mm x 1220mm Marine Plywood BS1088","https://dam-assets.apps.travisperkins.group/v96jwn0/GPID_1000559925_IMG_00.jpeg","A high quality panel, which performs well under conditions where moisture is a concern","7883156405","1,30",143.34,"ACTIVE",30,"Timber & Sheet Materials",124.64
"","3.6mm x 2440mm x 1220mm General Purpose Plywood","https://dam-assets.apps.travisperkins.group/vneml41/GPID_1000381887_IMG_00.jpg","A quality hardwood plywood suitable for a variety of applications","3865064331","1,241",19.72,"ACTIVE",241,"Timber & Sheet Materials",17.15
"","9mm x 1220mm x 2440mm Structural Hardwood Plywood","https://dam-assets.apps.travisperkins.group/ZvALP/GPID_1100755659_IMG_00.png","A quality hardwood structural plywood that is suitable for a variety of applications, including walls, floors and roofs. Structural plywood must be 9mm or above.","1195982135","1,131",34.07,"ACTIVE",131,"Timber & Sheet Materials",29.63
"","12mm x 2440mm x 1220mm Marine Plywood BS1088","https://dam-assets.apps.travisperkins.group/oz841p7/GPID_1000559954_IMG_00.jpeg","A high quality panel, which performs well under conditions where moisture is a concern","4909058106","1,78",103.91,"ACTIVE",78,"Timber & Sheet Materials",90.36
"","18mm x 1220mm x 610mm Plywood Cut Panel","https://dam-assets.apps.travisperkins.group/xlm0w5d/GPID_1000261967_IMG_00.jpg","Ready Panel Plywood boards. Easy to handle board sizes. Consistent colour. Variety of thicknesses for different internal uses.","3128950122","1,28",21.60,"ACTIVE",28,"Timber & Sheet Materials",18.78
"","25mm x 1220mm x 2440mm Structural Hardwood Plywood","https://dam-assets.apps.travisperkins.group/LGjEZ/GPID_1100755661_IMG_00.png","A quality hardwood structural plywood that is suitable for a variety of applications, including walls, floors and roofs. Structural plywood must be 9mm or above.","3612412680","1,15",84.05,"ACTIVE",15,"Timber & Sheet Materials",73.09
"","9mm x 2440mm x 1220mm Softwood Shuttering Plywood","https://dam-assets.apps.travisperkins.group/oq4g5l5/GPID_1000131658_IMG_00.jpg","Excellent all round plywood which can be used for shuttering/hoarding and all general purpose building applications","8822394003","1,84",29.16,"ACTIVE",84,"Timber & Sheet Materials",25.36
"","12mm x 1220mm x 610mm Plywood Cut Panel","https://dam-assets.apps.travisperkins.group/o35d8l5/GPID_1000261966_IMG_00.jpg","Ready Panel Plywood boards. Easy to handle board sizes. Consistent colour. Variety of thicknesses for different internal uses.","4112040303","1,13",16.63,"ACTIVE",13,"Timber & Sheet Materials",14.46
"","Sprucefloor WBP T&G 2400x600x22mm","https://dam-assets.apps.travisperkins.group/rqGN0/GPID_1000382154_IMG_00.jpeg","A high quality plywood flooring panel especially for use in domestic, light industrial and commercial applications.","1155699561","1,174",76.92,"ACTIVE",174,"Timber & Sheet Materials",66.89
"","12mm x 2440mm x 1220mm CaberMDF Trade","https://dam-assets.apps.travisperkins.group/xdmq64k/GPID_1000192015_IMG_00.jpeg","Trade MDF is an incredibly versatile interior panel, with a high internal bond strength, used extensively throughout the construction and furniture industries, which is up to 20% lighter than standard MDF.","4383206523","1,230",32.18,"ACTIVE",230,"Timber & Sheet Materials",27.98
"","18mm x 2440mm x 1220mm CaberMDF Trade","https://dam-assets.apps.travisperkins.group/xw4wd55/GPID_1000192017_IMG_00.jpeg","Trade MDF is an incredibly versatile interior panel, with a high internal bond strength, used extensively throughout the construction and furniture industries, which is up to 20% lighter than standard MDF.","3348215162","1,118",37.58,"ACTIVE",118,"Timber & Sheet Materials",32.68
"","6mm x 2440mm x 1220mm CaberMDF Pro","https://dam-assets.apps.travisperkins.group/x218pyy/GPID_1000262459_IMG_00.jpeg","Pro MDF is an incredibly versatile interior panel, with a high internal bond strength, used extensively throughout the construction and furniture industries.","5168677802","1,121",21.88,"ACTIVE",121,"Timber & Sheet Materials",19.03
"","3mm x 2440mm x 1220mm Standard Hardboard Panel","https://dam-assets.apps.travisperkins.group/o501y97/GPID_1000323561_IMG_00.jpg","A light versatile panel for internal non structural use.","5580748129","1,164",10.27,"ACTIVE",164,"Timber & Sheet Materials",8.93
"","3mm x 1220mm x 610mm Standard Hardboard Panel","https://dam-assets.apps.travisperkins.group/oz86p37/GPID_1000071543_IMG_00.jpg","A light versatile panel for internal non structural use.","9595194580","1,235",8.49,"ACTIVE",235,"Timber & Sheet Materials",7.38
"","18mm x 2440mm x 1220mm CaberMDF Moisture Resistant Trade","https://dam-assets.apps.travisperkins.group/ormk1qr/GPID_1000071557_IMG_00.jpeg","Moisture resistant MDF is an incredibly versatile panel, with a high internal bond strength, used extensively throughout the construction and furniture industries, for interior applications that may be subject to occasional wetting or humidity.","9502878877","1,105",48.31,"ACTIVE",105,"Timber & Sheet Materials",42.01
"","9mm x 2440mm x 1220mm CaberMDF Pro","https://dam-assets.apps.travisperkins.group/xdmq6wk/GPID_1000262460_IMG_00.jpeg","Pro MDF is an incredibly versatile interior panel, with a high internal bond strength, used extensively throughout the construction and furniture industries.","4537502147","1,49",26.73,"ACTIVE",49,"Timber & Sheet Materials",23.24
