Item Catagory,Item Description,Item Name,Sell,image
Building Materials,Building Restraint Straps,L Joist Straps-1200 x 30 x 2.5mm H/D,£3.95,
Building Materials,Building Restraint Straps,L Joist Straps-1200 x 30 x 5mm H/D,£5.95,
Building Materials,Building Restraint Straps,L Joist Straps-900 x 30 x 2.5mm L/D,£2.95,
Building Materials,Building Restraint Straps,Joist Straps 900 X 100 Twisted H/D,£2.95,
Building Materials,Building Restraint Straps,Joist Straps 900 X 100 Twisted L/D,£2.95,
Building Materials,Building Restraint Straps,Fixing Band Roll 10MTR,£10.95,
Building Materials,Angles & Brackets,Dog Tooth Washers,£0.59,
Building Materials,Angles & Brackets,L Bracket 90 X 90 X 63 H/D,£0.99,
Building Materials,Cladding,Midnight Black Hardieplank Cedar 3600x180x8mm,£18.95,
Building Materials,Cladding,Midnight Black Hardie Paint Edge Coating 1L,£29.95,
Building Materials,Cladding,Midnight Black Hardiepanel Screws (250) 4.8x38mm,£70,
Building Materials,Cladding,Anthracite Grey Hardieplank Cedar 3600x180x8mm,£18.95,
Building Materials,Cladding,Anthracite Grey Hardie Paint Edge Coating 1L,£29.95,
Building Materials,Cladding,Anthracite Grey Hardiepanel Screws (250) 4.8x38mm,£70,
Building Materials,Cladding,Artic White Hardieplank Cedar 3600x180x8mm,£18.95,
Building Materials,Cladding,Artic White Hardie Paint Edge Coating 1L,£29.95,
Building Materials,Cladding,Artic White Hardiepanel Screws (250) 4.8x38mm,£70,
Building Materials,Cladding,Starter Strip With Ventilation 3000x25mm,£24.95,
Building Materials,Cladding,Top Strip With Ventilation 3000x25mm,£24.95,
Garden and Landscaping,Waney Lap Fencing,6'X4' Waney Lap Fence Panel – Autumn Gold,£25.95,
Garden and Landscaping,Waney Lap Fencing,6'X5' Waney Lap Fence Panel – Autumn Gold,£27.95,
Garden and Landscaping,Waney Lap Fencing,6'X6' Waney Lap Fence Panel – Autumn Gold,£29.95,
Garden and Landscaping,Postcrete,Postcrete 20Kg,£6.95,
Garden and Landscaping,Fencing Metalwork,Mortice Holder,£2.80,
Garden and Landscaping,Fencing Metalwork,B/Jap Padbolt Pp-150mm,£6.95,
Garden and Landscaping,Fencing Metalwork,B/Jap Padbolt Pp-100mm,£5.95,
Garden and Landscaping,Fencing Metalwork,Tower Bolt B/Jap Straight-200MMPP,£5.95,
Garden and Landscaping,Fencing Metalwork,Tower Bolt B/Jap Straight-150MMPP,£5.95,
Garden and Landscaping,Fencing Metalwork,Tower Bolt B/Jap Straight-100MMPP,£2.95,
Garden and Landscaping,Fencing Metalwork,Hinge T Med Dty B/Jap 450Mm Pp,£6.95,
Garden and Landscaping,Fencing Metalwork,Gravel Board Bracket,£2.50,
Garden and Landscaping,Fencing Metalwork,"Arris Rail Brkts 9""",£0.95,
Garden and Landscaping,Artificial Grass,Linear Mtr Grass Martinique 40mm (5m Wide),£75,
Garden and Landscaping,Decorative Walling,Marshalite Walling Pitched-Grey-300x100x65mm,£1.75,
Garden and Landscaping,Decorative Walling,Marshalite Walling Pitched-Buff-300x100x65mm,£1.75,
Garden and Landscaping,Coping Stones,5″ X 24″ - Twice Weathered Coping,£5.95,
Garden and Landscaping,Coping Stones,6.5″ X 24″ - Twice Weathered Coping,£6.95,
Garden and Landscaping,Coping Stones,11″ X 24″ - Twice Weathered Coping,£11.95,
Garden and Landscaping,Coping Stones,12″ X 24″ - Twice Weathered Coping,£14.95,
Garden and Landscaping,Coping Stones,14″ X 24″ - Twice Weathered Coping,£16.95,
Garden and Landscaping,Coping Stones,16″ X 36″ - Twice Weathered Coping,£39.95,
Garden and Landscaping,Coping Stones,18” x 36” - Twice Weathered Coping,£49.95,
Garden and Landscaping,Coping Stones,12″ X 24″ - Once Weathered Coping,£14.95,
Garden and Landscaping,Coping Stones,14″ X 24″ - Once Weathered Coping,£16.95,
Garden and Landscaping,Coping Stones,16″ X 36″ - Once Weathered Coping,£39.95,
Garden and Landscaping,Coping Stones,18” X 36” - Once Weathered Coping,£49.95,
Garden and Landscaping,Standard Edging,Flat Top Path Edging 50x150x915mm,£5.95,
Garden and Landscaping,Standard Edging,Half Battered Road Kerb Straight 125x255x915mm,£13.95,
Garden and Landscaping,Standard Edging,Round Top Path Edging 50x150x915mm,£5.95,
Garden and Landscaping,Decorative Edging,Victorian Rope Top Edging 590x180x50 Red/Black,£18.95,
Garden and Landscaping,Decorative Edging,Round Top Edging 600 x 150 x 50mm Buff,£5.95,
Garden and Landscaping,Decorative Edging,Round Top Edging 600 x 150 x 50mm Grey,£5.95,
