Item Catagory,Item Description,Item Name,Sell
Building Materials,Underground Drainage,"U/G Adaptor 6""-6"" (CLAY-CLAY)",18.95
Building Materials,Underground Drainage,"U/G Adaptor 6""-6"" (CAST-PVC)",18.95
Building Materials,Underground Drainage,"U/G Adaptor 4""-4"" (CLAY-PVC)",10.95
Building Materials,Underground Drainage,"U/G Adaptor 4""-4"" (CLAY-CLAY)",10.95
Building Materials,Underground Drainage,"U/G Adaptor 4""-4"" (CAST-PVC)",10.95
Building Materials,Underground Drainage,U/G Chamber Riser 470mm,20.95
Building Materials,Underground Drainage,U/G Chamber Riser 320mm,18.95
Building Materials,Underground Drainage,U/G Chamber Base 470mm,34.95
Building Materials,Underground Drainage,U/G Chamber Base 320mm,28.95
Building Materials,Underground Drainage,U/G 110mm 87.5o Triple Socket Tee Junction,12.95
Building Materials,Underground Drainage,U/G 110MM 30o Bend,4.95
Building Materials,Underground Drainage,U/G 110MM 45o Bend,6.95
Building Materials,Underground Drainage,U/G Chamber Base 470Mm 160Mm Outlet,75
Building Materials,Underground Drainage,U/G Chamber Plastic Cover & Frame-470mm,28.95
Building Materials,Underground Drainage,U/G Chamber Plastic Cover & Frame-320mm,24.95
Building Materials,Underground Drainage,U/G 45o Triple Socket Y Junction-110mm,12.95
Building Materials,Underground Drainage,U/G 110MM 87.5o Bend,6.95
Building Materials,Underground Drainage,U/G 110MM 87.5o Long Radius Bend,21.95
Building Materials,Underground Drainage,U/G 110MM 87.5o Rest Bend,19.95
Building Materials,Underground Drainage,U/G 110MM Access Plug,6.95
Building Materials,Underground Drainage,U/G 110MM Access Bend,11.95
Building Materials,Underground Drainage,U/G 110MM Adjustable Bend 0-90o,18.95
Building Materials,Underground Drainage,U/G 110MM Straight Coupling,3.95
Building Materials,Underground Drainage,U/G 110MM Plain Bottle Gulley With Circular Grid,19.95
Building Materials,Underground Drainage,U/G Rectangle Hopper,12.95
Building Materials,Underground Drainage,U/G Square Hopper With Grid,12.95
Building Materials,Underground Drainage,U/G 110mm Universal Gully Trap,18.95
Building Materials,Underground Drainage,U/G 110mm Socket Plug,4.95
Building Materials,Underground Drainage,U/G 110mm Low Back P-trap,18.95
Building Materials,Underground Drainage,U/G Aluminium Rodding Eye,24.95
Building Materials,Underground Drainage,100MM Land Drain Perforated Coil-50MTR,115
Building Materials,Underground Drainage,100MM Land Drain Perforated Coil-25MTR,75
Building Materials,Underground Drainage,Soakaway Crate 1200mm x 600mm x 400mm (4 To A M3),59.95
Building Materials,Surface Drainage,4ALL BLACK PVC SHALLOW CHANNEL 1 MTR,12.95
Building Materials,Surface Drainage,4ALL GREY SHALLOW CHANNEL 1 MTR,12.95
Building Materials,Surface Drainage,4ALL GALV / METAL SHALLOW CHANNEL 1 MTR,12.95
Building Materials,Surface Drainage,GREY SHALLOW ACC.KIT ( 2 END CAPS + OUTLET ),7.95
Building Materials,Surface Drainage,BLACK SHALLOW ACC.KIT (2 END CAPS + OUTLET),7.95
Building Materials,Surface Drainage,SLOT DRAINAGE CHANNEL 1 METRE LENGTH,15.95
Building Materials,Surface Drainage,ADAPTOR KIT (2x end caps & 110mm outlet connectors),7.95
Building Materials,Surface Drainage,4All Corner Piece & Plastic Grate,10.95
Building Materials,Surface Drainage,4All Corner Piece & Galvanised Grate,10.95
Building Materials,Surface Drainage,4ALL 100x70x1000mm DRAINAGE CHANNEL - METAL GRATING,12.95
Building Materials,Surface Drainage,4ALL 100x70x1000mm DRAINAGE CHANNEL - PLASTIC GRATING,12.95
Building Materials,Reinforcement Products,2Kg Roll Tie Wire,12.95
Building Materials,Reinforcement Products,8mm x 3m Reinforcing Rod,4.95
Building Materials,Reinforcement Products,10mm x 3m Reinforcing Rod,5.95
Building Materials,Reinforcement Products,12mm x 3m Reinforcing Rod,6.95
Building Materials,Reinforcement Products,16mm x 3m Reinforcing Rod,10.95
Building Materials,Reinforcement Products,25mm x 3m Reinforcing Rod,24.95
Building Materials,Reinforcement Products,4.8M x 2.4M D49 Reinforce Mesh,54.95
Building Materials,Reinforcement Products,Mesh Support Spacers 40/50Mm (Concrete),0.50
Building Materials,Reinforcement Products,2M x 3.6M A393 Reinforce Mesh,64.95
Building Materials,Reinforcement Products,2M x 3.6M A142 Reinforce Mesh,24.95
Building Materials,Cable Ducting,ROLL 110MM TWIN WALL DUCTING 50MTR,195
Building Materials,Manhole Covers & Frames,Manhole Cover & Frame 450 Diameter Recessed Square/Round,99
Building Materials,Manhole Covers & Frames,Light Duty Manhole 600x450,30
Building Materials,Manhole Covers & Frames,Double Seal Manhole 600x450x43.5,75
